codigo;cod_almacen;stock
40926905;000001;6686
40926905;000002;0
40926905;000003;0
40926905;000004;5
41051905;000001;0
41051905;000003;0
41051905;000004;0
41068905;000001;0
43509809;000001;163
43509809;000004;85
43509905;000001;0
43509905;000002;0
43509905;000003;0
43509905;000004;0
43512905;000001;0
43512905;000002;0
43512905;000003;0
43512905;000004;0
43592855;000001;422
43592855;000003;0
43592855;000004;2
44243809;000001;511
44243809;000002;372
44243809;000003;0
44243809;000004;83
44243855;000001;0
44243855;000002;0
44243855;000003;0
44243855;000004;37
44245809;000001;60
44245809;000002;0
44245809;000003;0
44245809;000004;4
44245855;000001;5248
44245855;000002;2601
44245855;000003;2
44245855;000004;89
44774905;000001;988
44774905;000004;0
45312905;000001;21737
45312905;000003;0
45312905;000004;0
45372809;000001;0
45372809;000003;0
45372809;000004;27
45372855;000001;0
45372855;000003;0
45372855;000004;1
45372905;000001;4
45372905;000003;0
45372905;000004;0
45387905;000001;161
45387905;000003;0
45387905;000004;0
45657855;000001;99
45657855;000004;4
45659855;000001;0
45660855;000001;0
45660855;000004;0
45683809;000001;0
45683809;000003;0
45684809;000001;0
45684809;000003;0
45685855;000001;0
45685855;000003;0
45685855;000004;0
500000214;000001;89391,51
550014136;000001;0
550014136;000003;0
550022409;000001;94
550022488;000001;3
550022488;000003;0
550025692;000001;1476
550025692;000004;31
550025702;000001;470
550025702;000003;0
550025702;000004;114
550025731;000001;96
550025731;000003;0
550026300;000001;605
550026300;000003;0
550026300;000004;0
550026301;000001;25
550026697;000001;6619
550026697;000003;0
550026697;000004;0
550026699;000001;543
550026699;000003;0
550026699;000004;45
550026700;000001;0
550026700;000004;0
550026710;000001;0
550026834;000001;32
550026834;000004;0
550026891;000001;0
550026891;000003;0
550026891;000004;1
550026900;000001;29
550026900;000003;0
550026900;000004;4
550026902;000001;74
550026902;000004;1
550026907;000001;32
550026907;000003;0
550026919;000001;1
550027265;000001;468
550027265;000003;0
550027265;000004;9
550027631;000001;336
550027631;000004;73
550027680;000001;2
550029925;000001;3
550029925;000003;0
550029925;000004;37
550032121;000001;40
550032121;000003;0
550036183;000001;26
550036183;000003;0
550036571;000001;79
550036571;000003;0
550036571;000004;5
550043380;000001;98
550043380;000003;0
550043380;000004;1
550044601;000001;92
550045415;000001;184
550045415;000003;0
550045415;000004;1
550045436;000001;8
550045436;000003;0
550045436;000004;0
550045438;000001;44
550045438;000003;0
550045838;000001;1663
550045838;000002;2872
550045838;000003;8
550045838;000004;10
550045853;000001;10442
550045853;000003;0
550045853;000004;0
550045885;000001;62236
550045885;000002;0
550045885;000003;0
550045885;000004;2
550045901;000001;7970
550045901;000004;4
550045905;000001;0
550045905;000003;0
550045905;000004;0
550047075;000001;264
550047075;000004;12
550047079;000001;19
550047079;000003;0
550047079;000004;3
550047744;000001;0
550049041;000001;2141
550049041;000004;32
550049771;000001;1314
550049771;000003;0
550049771;000004;0
550049811;000001;1575
550049812;000001;875
550049814;000001;2102
550049814;000003;0
550049814;000004;0
550050052;000001;1569
550050052;000003;0
550050052;000004;0
550050102;000001;3119
550050102;000003;0
550050102;000004;0
550050706;000001;293
550050706;000003;0
550050706;000004;1
550050708;000001;0
550050708;000003;0
550052035;000001;0
550052035;000003;0
550052035;000004;0
550052038;000001;0
550052038;000003;0
550052038;000004;0
550052219;000001;8
550052774;000001;22
550052774;000003;0
550052775;000001;35
550052775;000003;0
550053426;000001;24
550053426;000003;0
550053587;000001;1662
550053587;000004;14
550054282;000001;0
550054282;000004;1
550054547;000001;146
550054547;000003;0
550056833;000001;109
550056833;000004;3
550057742;000001;6306
550057742;000004;29
550057747;000001;2
550057747;000004;1
550057749;000001;789
550057749;000002;0
550057749;000003;0
550057749;000004;0
550057767;000001;3568
550057767;000002;0
550057767;000003;0
550057767;000004;2
550059865;000001;1662
550059866;000001;263
6560200055;000001;58
6560200055;000003;0
6560200055;000004;6
6560300055;000001;19
6560300055;000004;2
6560500055;000001;135
6560500055;000004;3
AOT185R14;000002;127
AOT185R14;000003;12
DK1856514;000001;0
DK1856514;000002;2
DK1856514;000003;1
DK1956015;000001;0
DK1956015;000002;0
NOLOTE;000001;100
QA-1010;000001;0
QA-1010;000004;24
QA-10190;000001;0
QA-10190;000004;23
QA-10242;000001;234
QA-10242;000004;24
QA-10262;000001;0
QA-10262;000004;24
QA-10755;000001;0
QA-10755;000004;24
QA-10835;000001;0
QA-10835;000004;18
QA-1111;000001;0
QA-1111;000004;552
QA-1211;000001;0
QA-1211;000004;21
QA-2222;000001;0
QA-2222;000004;24
QA-46357;000001;0
QA-46357;000004;0
QA-46932;000001;32
QA-46932;000004;1
QA-5700;000001;48
QA-5700;000004;24
QA-6558;000001;0
QA-6558;000004;24
QA-8000;000001;0
QA-8000;000004;24
QA-8004;000001;0
QA-8004;000004;12
QA-8208;000001;0
QA-8208;000004;24
QA-9074;000001;0
QA-9074;000004;24
QA-91485;000001;312
QA-91485;000004;24
QA-9430;000001;0
QA-9430;000004;2
QA-9683;000001;0
QA-9683;000004;2
QA-9687;000001;288
QA-9687;000004;24
QA-9902;000001;18
QA-9902;000004;24
QAB70028X915;000002;8
QAB7005008;000002;20
QAB7006009;000002;28
QAB70065010;000002;19
QAB70070012;000002;38
QAC-L;000001;199
QAC-L;000002;0
QAC-L;000004;80
QAE80317525;000002;1
QAE80320525;000002;2
QAE80323525;000002;0
QAE80326525;000002;0
QAE804140024;000002;16
QAE80623126;000002;6
QAL70210165;000002;24
QAL70212165;000002;36
QAT28570R17;000002;0
QAT28575R16;000002;6
QBD29580;000001;0
QBD29580;000002;182
QBD29580;000003;3
QBD31580;000001;0
QBD31580;000002;138
QBD31580;000003;1
QC-1010;000001;900
QC-1010;000004;50
QC-1036;000001;0
QC-1036;000004;50
QC-1083;000001;8999
QC-1083;000004;50
QC-1100;000001;2250
QC-1100;000004;50
QC-1120;000001;0
QC-1120;000004;939
QC-2;000001;0
QC-2;000004;100
QC-3583;000001;700
QC-3583;000004;50
QC-3641;000001;400
QC-3641;000004;48
QC-3727;000001;0
QC-3727;000004;50
QC-3802;000001;650
QC-3802;000004;50
QC-3850;000001;1000
QC-3850;000004;4
QC-5010;000001;0
QC-5010;000004;100
QC-5110;000001;550
QC-5110;000004;50
QC-511A;000001;550
QC-511A;000004;48
QC-5961;000001;94
QC-5961;000004;50
QC-618;000001;15946
QC-618;000004;50
QC-619;000001;10544
QC-619;000004;50
QC-645A;000001;0
QC-645A;000004;50
QC-6680;000001;200
QC-6680;000004;200
QC-7110;000001;1900
QC-7110;000004;47
QC-7194;000001;0
QC-7194;000004;50
QC-7612;000001;1300
QC-7612;000004;50
QC-7729;000001;0
QC-7729;000004;239
QC-9292;000001;1150
QC-9292;000004;391
QC-986;000001;4192
QC-986;000004;48
QC-991;000001;400
QC-991;000004;48
QC18560R14;000002;1
QC19560R15;000002;0
QC19560R15;000003;18
QD-10224;000001;764
QD-10224;000004;1
QD-10231;000001;860
QD-10231;000004;1
QD-10372;000001;2468
QD-10372;000004;1
QD-10379;000001;2132
QD-10379;000004;1
QD-10416;000001;2228
QD-10416;000004;1
QD-33166;000001;8756
QD-33166;000004;1
QD-33218;000001;2216
QD-33218;000004;1
QD-33219;000001;2528
QD-33219;000004;1
QD-33242;000001;1208
QD-33242;000004;1
QD-33260;000001;676
QD-33260;000004;1
QD-33386;000001;4676
QD-33386;000004;1
QD-33393;000001;2204
QD-33393;000004;1
QD-33399;000001;1028
QD-33399;000004;1
QD-33587;000001;1976
QD-33587;000004;1
QD-33588;000001;596
QD-33588;000004;1
QD-33742;000001;356
QD-33742;000004;1
QD-33777;000001;1508
QD-33777;000004;1
QD-6904;000001;1080
QD-6904;000004;24
QD-6905;000001;0
QD-6905;000004;24
QD-8429;000001;2060
QD-8429;000004;1
QDI-T;000002;0
QDM-G;000001;81
QDM-G;000002;0
QDM-G;000004;0
QDM-L;000001;122
QDM-L;000002;0
QDM-L;000004;0
QDM-T;000001;1
QDM-T;000002;0
QDOT3-290;000001;959
QDOT3-290;000002;0
QDOT3-290;000004;1
QDOT3-946;000001;654
QDOT3-946;000002;0
QDOT3-946;000004;0
QDOT4-290;000001;569
QDOT4-290;000002;0
QDOT4-290;000004;0
QDOT4-946;000001;316
QDOT4-946;000002;0
QDOT4-946;000004;2
QEO-350;000001;105
QEO-350;000002;0
QEO-350;000004;6
QFM-G;000001;2
QFM-G;000002;0
QFM-G;000004;3
QFM-L;000001;0
QFM-L;000002;0
QFM-L;000004;0
QFM-T;000001;0
QL-10060;000001;0
QL-10060;000004;24
QL-10158;000001;7626
QL-10158;000004;12
QL-10295;000001;8208
QL-10295;000004;12
QL-10358;000001;7968
QL-10358;000004;48
QL-10575;000001;24
QL-10575;000004;24
QL-13;000001;0
QL-13;000004;24
QL-16;000001;0
QL-16;000004;24
QL-2;000001;0
QL-2;000004;18
QL-2004;000001;0
QL-2004;000004;12
QL-3387;000001;30672
QL-3387;000004;18
QL-3600;000001;0
QL-3600;000004;24
QL-3614;000001;0
QL-3614;000004;18
QL-3690;000001;2124
QL-3690;000004;12
QL-3807;000001;0
QL-3807;000004;12
QL-3980;000001;0
QL-3980;000004;24
QL-4558;000001;0
QL-4558;000004;24
QL-4967;000001;50376
QL-4967;000004;12
QL-5103;000001;0
QL-5103;000004;18
QL-5113;000001;0
QL-5113;000004;24
QL-51429;000001;308
QL-51429;000004;1
QL-51431;000001;308
QL-51431;000004;1
QL-51602;000001;1172
QL-51602;000004;1
QL-51649;000001;0
QL-51649;000004;0
QL-51660;000001;452
QL-51660;000004;1
QL-51669;000001;572
QL-51669;000004;1
QL-51675;000001;20
QL-51675;000004;1
QL-51748;000001;344
QL-51748;000004;1
QL-51749;000001;500
QL-51749;000004;1
QL-51791;000001;0
QL-51810;000001;2924
QL-51810;000004;1
QL-51832;000001;452
QL-51832;000004;1
QL-51971;000001;571
QL-51971;000004;2
QL-5548;000001;0
QL-5548;000004;24
QL-57746;000001;644
QL-57746;000004;1
QL-6607;000001;0
QL-6607;000004;24
QL-7317;000001;0
QL-7317;000004;18
QL-8;000001;0
QL-8;000004;24
QL-9814;000001;5712
QL-9814;000004;56
QPD29580;000001;0
QPD29580;000002;90
QRHTR-G;000001;1864
QRHTR-G;000002;340
QRHTR-G;000004;2
QRHTR-L;000001;87
QRHTV-G;000001;1099
QRHTV-G;000002;544
QRHTV-G;000004;0
QRHTV-L;000001;131
QRPR50-G;000001;1696
QRPR50-G;000002;816
QRPR50-G;000004;0
QRPR50-T;000001;72
QRPR50-T;000002;0
QRPR50-T;000004;0
QRPV50-G;000001;746
QRPV50-T;000001;52
QSH-G;000001;134
QSH-G;000002;0
QSH-G;000004;3
QSH-L;000001;204
QSH-L;000002;0
QSH-L;000004;0
QSH-T;000001;3
QSH-T;000002;0
QU18565R14;000002;2546
QVU12R225;000002;306
QVU12R225;000003;9
QWK750;000001;0
QWK750;000002;192
QWK750;000003;1
WS175R13;000002;0
